step,fast_slow_gap,fast_wins,gap_evidence,state_action_pseudo_count,state_action_familiarity_weight,familiarity_ready,familiarity_warmup_remaining,block_completed,block_valid,block_evidence,block_familiarity,block_weight_sum,q_short,q_long,rate_gap,detector_armed,regime_change,positive_streak,initial_stabilization_streak,rearm_streak,initial_arming_complete,rate_warmup_remaining,initial_warmup_remaining,log_p_fast,log_p_slow,fast_mean_total_var,slow_mean_total_var,fast_mean_epistemic_var,slow_mean_epistemic_var,predictor_nll
0,0.00000000,0,0.00000000,0,0.00000000,0,9999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9999,-187.57991028,-187.57991028,0.99977803,0.99977803,0.00544875,0.00544875,191.55627950
100,0.00000000,0,0.00000000,0,0.00000000,0,9899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9899,-97.79672241,-97.79672241,1.51743102,1.51743102,0.21418425,0.21418425,134.10005379
200,0.00000000,0,0.00000000,0,0.00000000,0,9799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9799,-110.37040710,-110.37040710,1.68256903,1.68256903,0.24216631,0.24216631,137.96575546
300,0.00000000,0,0.00000000,0,0.00000000,0,9699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9699,-101.61997986,-101.61997986,1.35240972,1.35240972,0.09873851,0.09873851,118.57719803
400,0.00000000,0,0.00000000,0,0.00000000,0,9599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9599,-44.45179367,-44.45179367,1.73789251,1.73789251,0.18784329,0.18784329,47.78162003
500,0.00000000,0,0.00000000,0,0.00000000,0,9499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9499,-101.06086731,-101.06086731,1.67544985,1.67544985,0.14579757,0.14579757,126.28696442
600,0.00000000,0,0.00000000,0,0.00000000,0,9399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9399,-52.89635468,-52.89635468,2.08151245,2.08151245,0.25955391,0.25955391,66.18104362
700,0.00000000,0,0.00000000,0,0.00000000,0,9299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9299,-36.44864655,-36.44864655,4.49488926,4.49488926,0.34259045,0.34259045,43.38277435
800,0.00000000,0,0.00000000,0,0.00000000,0,9199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9199,-30.60866165,-30.60866165,2.46505523,2.46505523,0.16261455,0.16261455,31.59680462
900,0.00000000,0,0.00000000,0,0.00000000,0,9099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,9099,-46.12052917,-46.12052917,1.88102770,1.88102770,0.09830725,0.09830725,45.74545670
1000,0.00000000,0,0.00000000,0,0.00000000,0,8999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8999,-59.53630447,-59.53630447,1.05313385,1.05313385,0.00283170,0.00283170,60.44878896
1100,0.00000000,0,0.00000000,0,0.00000000,0,8899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8899,-83.36448669,-83.36448669,1.16554880,1.16554880,0.01666459,0.01666459,87.60491180
1200,0.00000000,0,0.00000000,0,0.00000000,0,8799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8799,-29.60248947,-29.60248947,5.07890987,5.07890987,0.21014799,0.21014799,30.61154429
1300,0.00000000,0,0.00000000,0,0.00000000,0,8699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8699,-35.85886002,-35.85886002,4.15760899,4.15760899,0.24424431,0.24424431,45.00259209
1400,0.00000000,0,0.00000000,0,0.00000000,0,8599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8599,-41.95064163,-41.95064163,4.40771723,4.40771723,0.27053070,0.27053070,47.63385010
1500,0.00000000,0,0.00000000,0,0.00000000,0,8499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8499,-25.18848610,-25.18848610,6.90061378,6.90061378,0.23379214,0.23379214,26.09555054
1600,0.00000000,0,0.00000000,0,0.00000000,0,8399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8399,-31.56463051,-31.56463051,37.62470627,37.62470627,0.76594579,0.76594579,38.04967880
1700,0.00000000,0,0.00000000,0,0.00000000,0,8299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8299,-37.08233643,-37.08233643,20.03479767,20.03479767,0.38082421,0.38082421,48.23302555
1800,0.00000000,0,0.00000000,0,0.00000000,0,8199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8199,-31.55036354,-31.55036354,35.49752808,35.49752808,0.54302895,0.54302895,34.09250387
1900,0.00000000,0,0.00000000,0,0.00000000,0,8099,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,8099,-31.79152870,-31.79152870,10.75414848,10.75414848,0.18069856,0.18069856,33.36334356
2000,0.00000000,0,0.00000000,0,0.00000000,0,7999,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7999,-118.38387299,-118.38387299,1.12748063,1.12748063,0.00623552,0.00623552,119.01652908
2100,0.00000000,0,0.00000000,0,0.00000000,0,7899,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7899,-29.17496490,-29.17496490,24.72780609,24.72780609,0.33060184,0.33060184,29.98180389
2200,0.00000000,0,0.00000000,0,0.00000000,0,7799,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7799,-28.42929840,-28.42929840,6.21797991,6.21797991,0.15589191,0.15589191,29.60202980
2300,0.00000000,0,0.00000000,0,0.00000000,0,7699,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7699,-30.24283218,-30.24283218,17.92373466,17.92373466,0.23568647,0.23568647,31.20637178
2400,0.00000000,0,0.00000000,0,0.00000000,0,7599,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7599,-30.53691864,-30.53691864,2.37203646,2.37203646,0.03844162,0.03844162,30.82671483
2500,0.00000000,0,0.00000000,0,0.00000000,0,7499,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7499,-24.42716217,-24.42716217,9.98462772,9.98462772,0.14049906,0.14049906,25.92792511
2600,0.00000000,0,0.00000000,0,0.00000000,0,7399,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7399,-24.42580795,-24.42580795,11.64197063,11.64197063,0.16797502,0.16797502,25.11849022
2700,0.00000000,0,0.00000000,0,0.00000000,0,7299,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7299,-22.73630905,-22.73630905,3.60041904,3.60041904,0.06579754,0.06579754,22.94740041
2800,0.00000000,0,0.00000000,0,0.00000000,0,7199,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,20,7199,-23.80775833,-23.80775833,11.61735916,11.61735916,0.13701122,0.13701122,23.28207207
