step,e_P,e_R,e_P_bar,e_R_bar,D_t,c_t,regime_change
0,1.36357009,0.48917264,0.00000000,0.00000000,0.00000000,0.00000000,0
1000,0.78020078,0.25883645,-0.95165951,-0.72218652,0.00000000,0.00000000,0
2000,0.90811509,0.56226057,0.01185141,0.11818368,0.00705392,1.01819158,0
3000,0.77650386,1.01344442,-0.49804296,1.31736632,0.86772701,0.06488318,0
4000,0.79731274,0.49725345,-0.15704880,0.09818355,0.00482000,0.03887802,0
5000,0.95207423,1.12422132,0.82900844,1.93704856,2.21970605,0.00560614,0
6000,0.72345501,1.19421482,-0.17102931,2.27351649,2.58443862,0.01117733,0
7000,0.57010764,0.56625915,-0.74249883,0.50690629,0.12847699,0.00290199,0
8000,0.64652675,0.50117713,-0.20157177,0.36634694,0.06710504,0.00047530,0
9000,0.50785691,0.00008276,-0.66673339,-1.17223552,0.00000000,0.00356729,0
10000,0.39988145,0.10650650,-1.02547056,-0.83197400,0.00000000,0.00806720,0
11000,0.68279916,0.72077090,0.26688567,1.21019384,0.76789854,0.01112310,0
12000,0.44897255,0.20488149,-0.63809560,-0.48668965,0.00000000,0.00067400,0
13000,0.46970281,0.00904600,-0.45776358,-1.13822294,0.00000000,0.03260589,0
14000,0.54791600,0.74596643,-0.06232550,1.44311177,1.04128579,0.02894627,0
15000,0.32240558,0.33632898,-0.92226189,0.03363792,0.00056575,0.00668162,0
16000,0.56829733,0.47514227,0.14361493,0.55639123,0.16509822,0.00031985,0
17000,0.30585843,0.21118876,-0.87739793,-0.38007977,0.00000000,0.00230472,0
18000,0.43419436,0.31143117,-0.31193972,0.00359768,0.00000647,0.00659791,0
19000,0.51337737,0.56156468,0.05492990,0.96025865,0.46255698,0.00944694,0
20000,0.38521388,0.24435145,-0.45018286,-0.22715505,0.00000000,0.02810939,0
21000,0.25285202,0.63547653,-0.98355300,1.28347613,0.82365549,0.01062787,0
22000,0.49604562,0.16695094,0.07350198,-0.50672202,0.00270127,0.01464424,0
23000,0.31708717,0.26109803,-0.64599350,-0.12424311,0.00000000,0.00016868,0
24000,0.43493509,0.11942784,-0.12005371,-0.67416740,0.00000000,0.01420308,0
25000,0.29283893,0.12254354,-0.69928611,-0.65556224,0.00000000,0.00405491,0
26000,0.30312011,0.60948646,-0.63353137,1.32483356,0.87759198,0.01252047,0
27000,0.42419761,0.55893195,-0.09152650,1.13976231,0.64952906,0.00331941,0
28000,0.46376085,0.26493818,0.10645642,-0.04884985,0.00566648,0.00020785,0
29000,0.20680262,0.52686644,-0.98970319,1.05579659,0.55735322,0.00001609,0
30000,0.30598372,0.64367050,-0.53573476,1.56825345,1.22970944,0.00002865,0
31000,0.31593210,0.16280945,-0.47398248,-0.43994527,0.00000000,0.00113358,0
32000,0.38291544,0.18245071,-0.15783675,-0.34497022,0.00000000,0.00001096,0
